Segment,Outside,Contract 1,Contract 2,Row sum
1,0.06771135996936085,0.5031415114900569,0.4291471285405823,1.0
2,0.022074723214426845,0.3728850387350566,0.6050402380505165,1.0
3,0.08729205241829667,0.2812323022232448,0.6314756453584586,1.0
4,0.005096679227326678,0.6159057661210385,0.3789975546516349,1.0000000000000002
5,0.12705943252378918,0.33077091683716514,0.5421696506390457,1.0
6,0.04053030188294375,0.36738593407147874,0.5920837640455774,0.9999999999999999
7,0.047753211125741914,0.15114489879577428,0.8011018900784838,1.0
8,0.05438598676007738,0.44530640658987714,0.5003076066500456,1.0
9,0.13807450253140302,0.40326240129302515,0.4586630961755719,1.0
10,0.02285050511791616,0.5670098569185879,0.4101396379634959,1.0
