Segment,Most likely choice,Max probability,Entropy
1,Contract 1,0.5031415114900569,0.8909520431935041
2,Contract 2,0.6050402380505165,0.756032277172259
3,Contract 2,0.6314756453584586,0.8599121337421459
4,Contract 1,0.6159057661210385,0.6931250098280075
5,Contract 2,0.5421696506390457,0.9599813136916489
6,Contract 2,0.5920837640455774,0.8081226577316086
7,Contract 2,0.8011018900784838,0.6085001936397143
8,Contract 2,0.5003076066500456,0.8650816194505194
9,Contract 2,0.4586630961755719,0.9971122392316556
10,Contract 1,0.5670098569185879,0.7735964005648197
