Segment,Weight,Revenue contribution,Revenue share
1,0.125,130.68266898379116,0.11424708640931405
2,0.057,98.72218896245926,0.08630618383153497
3,0.068,56.004484053978,0.04896096153207183
4,0.044,114.96697914872848,0.10050791358302995
5,0.161,97.62438854297157,0.08534645060630563
6,0.116,157.12217642491007,0.13736137321363293
7,0.045,47.676838585685104,0.04168066002919851
8,0.171,202.89524598983388,0.17737769576403944
9,0.112,63.827898843678035,0.05580044799531223
10,0.101,174.33710178606182,0.15241122703556043
